name,url,dcat_url,admin_email
Södertörns högskola,http://webappl.web.sh.se,,
Länsstyrelsen i Stockholms län,http://www.ab.lst.se,,
Länsstyrelsen i Västerbottens län,http://www.ac.lst.se,,
Åklagarmyndigheten,http://www.aklagare.se,,
Bokföringsnämnden,http://www.bfn.se,,
